Subject,Predicate,Object
Los Angeles-Mexico City-Newark flight cover,fabio:hasCreator,Amelia Earhart
Los Angeles-Mexico City-Newark flight cover,crm:P12i was_present_at,New record: non-stop flight from Los Angeles to Mexico City
Los Angeles-Mexico City-Newark flight cover,crm:P51 has_former_or_current_owner,National Postal Museum
Los Angeles-Mexico City-Newark flight cover,dcterms:created,"May 8-9, 1935"
Los Angeles-Mexico City-Newark flight cover,dcterms:type,Covers & Associated Letters
Los Angeles-Mexico City-Newark flight cover,schema:name,Los Angeles-Mexico City-Newark flight cover
Los Angeles-Mexico City-Newark flight cover,dcterms:medium,paper; ink; adhesive
Los Angeles-Mexico City-Newark flight cover,dc:format,9 x 16.5 cm
