Subject,Predicate,Object
"Arrivée d'Amélie Earhart et de son mari à Paris, aviatrice qui traversé l'Atlantique, son mari, M. Putnam",crm:P62 depicts,Amelia Earhart
"Arrivée d'Amélie Earhart et de son mari à Paris, aviatrice qui traversé l'Atlantique, son mari, M. Putnam",crm:P62 depicts,George Putnam
"Arrivée d'Amélie Earhart et de son mari à Paris, aviatrice qui traversé l'Atlantique, son mari, M. Putnam",schema:name,"Arrivée d'Amélie Earhart et de son mari à Paris, aviatrice qui traversé l'Atlantique, son mari, M. Putnam"
"Arrivée d'Amélie Earhart et de son mari à Paris, aviatrice qui traversé l'Atlantique, son mari, M. Putnam",dcterms:created,1932
"Arrivée d'Amélie Earhart et de son mari à Paris, aviatrice qui traversé l'Atlantique, son mari, M. Putnam",dcterms:type,Photograph
"Arrivée d'Amélie Earhart et de son mari à Paris, aviatrice qui traversé l'Atlantique, son mari, M. Putnam",crm:P12i was_present_at,New record: First woman to fly solo across the Atlantic
"Arrivée d'Amélie Earhart et de son mari à Paris, aviatrice qui traversé l'Atlantique, son mari, M. Putnam",crm:P51 has_former_or_current_owner,Bibliothèque nationale de France
"Arrivée d'Amélie Earhart et de son mari à Paris, aviatrice qui traversé l'Atlantique, son mari, M. Putnam",RiCO:isAssociatedWithPlace,"Paris, France"
